Adelaide,SA,5000
Adelaide,SA,5001
Adelaide BC,SA,5000
Albion Park Rail,NSW,2527
Allens Rivulet,TAS,7150
Amby,QLD,4462
Annuello,VIC,3549
Archdale,VIC,3475
Arrino,WA,6519
Athelstone,SA,5076
Avoca Vale,QLD,4306
Baerami,NSW,2333
Baldry,NSW,2867
Balmoral,NSW,2571
Banksia Peninsula,VIC,3875
Barker Creek Flat,QLD,4615
Barringella,NSW,2540
Baudin,WA,6284
Beaufort,SA,5550
Bega,NSW,2550
Bellevue,WA,6056
Bendalong,NSW,2539
Berowra Waters,NSW,2082
Beverly Hills,NSW,2209
Billabong,VIC,3858
Birdwood,NSW,2446
Blackdown,QLD,4702
Blenheim,QLD,4341
Boco,NSW,2631
Bombah Point,NSW,2423
Boogan,QLD,4871
Boorabee Park,NSW,2480
Bornes Hill,VIC,3379
Bowhill,SA,5238
Braemeadows,QLD,4850
Brenanah,VIC,3517
Brim,VIC,3391
Brisbane,QLD,4001
Brogers Creek,NSW,2535
Broughton,NSW,2535
Buaraba South,QLD,4311
Bugle Hut,SA,5311
Buln Buln East,VIC,3821
Bungalally,VIC,3401
Burkes Flat,VIC,3475
Burrell Creek,NSW,2429
Byangum,NSW,2484
Cairns City,QLD,4870
Caltowie,SA,5490
Campbell,ACT,2612
Canberra,ACT,2600
Canberra,ACT,2601
Canberra BC,ACT,2610
Cannon Creek,QLD,4380
Capertee,NSW,2846
Caringal,VIC,3825
Carrarang,WA,6532
Castle Doyle,NSW,2350
Cawongla,NSW,2474
Chandler,QLD,4155
Chelsea,VIC,3196
Chinaman Wells,SA,5573
Clandulla,NSW,2848
Clergate,NSW,2800
Clyde,VIC,3978
Cockwhy,NSW,2539
Collaroy Beach,NSW,2097
Commissariat Point,SA,5700
Contine,WA,6311
Coolmunda,QLD,4387
Coongoola,QLD,4490
Copping,TAS,7174
Cororooke,VIC,3254
Cowangie,VIC,3506
Crawford,QLD,4610
Croudace Bay,NSW,2280
Cullen,VIC,3568
Currajah,QLD,4871
Dajarra,QLD,4825
Dandry,NSW,2357
Dartnall,WA,6320
Darwin,NT,800
Darwin,NT,801
Deep Creek,SA,5204
Dereel,VIC,3352
Diggers Camp,NSW,2462
Doctors Rocks,TAS,7325
Dorset Vale,SA,5157
Drouin,VIC,3818
Dulguigan,NSW,2484
Dunluce,VIC,3472
Dyraaba,NSW,2470
East Ipswich,QLD,4305
Eastville,VIC,3463
Edith,NSW,2787
Elgin Vale,QLD,4615
Elphinstone,QLD,4361
Enmore,NSW,2350
Essendon,VIC,3040
Eurimbula,QLD,4677
Fairdale,QLD,4606
Fawcetts Plain,NSW,2474
Fimiston,WA,6432
Flagstone,QLD,4280
Foreshores,QLD,4678
Foul Bay,SA,5577
French Park,NSW,2655
Galiwinku,NT,822
Gawler South,SA,5118
Germania,VIC,3387
Gillieston Heights,NSW,2321
Glamorgan Vale,QLD,4306
Glenaire,VIC,3238
Glengarry North,VIC,3854
Glenroy,VIC,3046
Golden Point,VIC,3451
Goomboorian,QLD,4570
Gosford,NSW,2250
Granite Rock,VIC,3875
Green Hills,NSW,2323
Greenways,SA,5272
Grosses Plain,NSW,2627
Gungaloon,QLD,4620
Haddon,VIC,3351
Hamilton South,NSW,2303
Harpers Hill,NSW,2321
Hawkwood,QLD,4626
Heathwood,QLD,4110
Herne Hill,WA,6056
Highpoint City,VIC,3032
Hithergreen,WA,6280
Hobart,TAS,7000
Hobart,TAS,7001
Homeleigh,NSW,2474
Hove,SA,5048
Huntingwood,NSW,2148
Inala East,QLD,4077
Invermay,VIC,3352
Ivanhoe North,VIC,3079
Jarklin,VIC,3517
Jesmond,NSW,2299
Joondalup DC,WA,6027
Kalangadoo,SA,5278
Kangaloon,NSW,2576
Kardella,VIC,3951
Kawl Kawl,QLD,4612
Kempsey,NSW,2440
Kernot,VIC,3979
Kiewa,VIC,3691
Kinchela,NSW,2440
Kingston,VIC,3364
Kiwarrak,NSW,2430
Koolyanobbing,WA,6427
Korrelocking,WA,6485
Kundibakh,NSW,2429
Kyeemagh,NSW,2216
Lake Biddy,WA,6355
Lake Munmorah,NSW,2259
Lancelin,WA,6044
Larnook,NSW,2480
Leawood Gardens,SA,5150
Leppington,NSW,2179
Lilliput,VIC,3682
Lipson,SA,5607
Lochaber,SA,5271
Long Point,NSW,2330
Lower Acacia Creek,NSW,2476
Loxton North,SA,5333
Lyons,NT,810
Macmanara,ACT,2615
Main Arm,NSW,2482
Malu,QLD,4403
Mannibadar,VIC,3360
Mardella,WA,6125
Maroochydore,QLD,4558
Marys Mount,NSW,2380
Maylands,WA,6051
Meandarra,QLD,4422
Melbourne,VIC,3000
Melbourne,VIC,3001
Melbourne,VIC,8001
Melville,NSW,2320
Merkanooka,WA,6625
Mexico,QLD,4728
Miepoll,VIC,3666
Milloo,VIC,3572
Mingoola,QLD,4380
Mission Beach,QLD,4852
Mogilla,NSW,2550
Mondrook,NSW,2430
Moogara,TAS,7140
Moonta Mines,SA,5558
Morago,NSW,2710
Mortlake,VIC,3272
Mount Barney,QLD,4287
Mount Dandenong,VIC,3767
Mount Harris,NSW,2824
Mount Madden,WA,6356
Mount Pleasant,NSW,2519
Mount Torrens,SA,5244
Muchea,WA,6501
Muluckine,WA,6401
Munni,NSW,2420
Murray-Sunset,VIC,3490
Myara,WA,6207
Nalyappa,SA,5558
Narangba,QLD,4504
Nashua,NSW,2479
Nelson,NSW,2550
New Brighton,NSW,2483
Newnes,NSW,2790
Ninderry,QLD,4561
Noranda,WA,6062
North Curl Curl,NSW,2099
North Ryde,NSW,2113
Northgate,SA,5085
Nullica,NSW,2551
O'Bil Bil,QLD,4626
Ob Flat,SA,5291
Ombersley,VIC,3241
Ormeau Hills,QLD,4208
Oyster Creek,QLD,4674
Pallinup,WA,6335
Paraburdoo,WA,6754
Parkwood,QLD,4214
Peaceful Bay,WA,6333
Pemulwuy,NSW,2145
Perth,WA,6000
Perth,WA,6001
Peterborough,VIC,3270
Pigeon Ponds,VIC,3407
Pinewood,VIC,3149
Pleasant Park,SA,5277
Pompoota,SA,5238
Port Hedland,WA,6721
Pound Creek,VIC,3996
Prospect Hill,SA,5201
Qualco,SA,5322
Racecourse,QLD,4740
Rathscar West,VIC,3465
Redbank Creek,QLD,4312
Reid,SA,5118
Richmond,NSW,2753
Riverside,NSW,2444
Rockhampton Hospital,QLD,4700
Rokewood Junction,VIC,3351
Rosenthal Heights,QLD,4370
Round Hill,TAS,7320
Runnymede,TAS,7190
Sale,VIC,3850
Sandgate,QLD,4017
Sarina Beach,QLD,4737
Scrub Creek,QLD,4313
Sellheim,QLD,4816
Shark Creek,NSW,2463
Shorewell Park,TAS,7320
Skenes Creek,VIC,3233
Soldiers Hill,VIC,3350
South Gladstone,QLD,4680
South Preston,TAS,7315
Spargo Creek,VIC,3461
Springfield,NSW,2630
St Helens,VIC,3285
Stanborough,NSW,2360
Stirling North,SA,5710
Stowport,TAS,7321
Stuart,QLD,4811
Sunnybank,QLD,4109
Suttontown,SA,5291
Sydney,NSW,2000
Sydney,NSW,2001
Tabbil Creek,NSW,2420
Tallebudgera Valley,QLD,4228
Tangorin,QLD,4821
Taringa,QLD,4068
Taylor Bay,VIC,3713
Tennant Creek,NT,860
Tharbogang,NSW,2680
The Mine,QLD,4714
Thomson,VIC,3825
Tiddy Widdy Beach,SA,5571
Titaatee Creek,NSW,2422
Toolamba,VIC,3614
Toowong DC,QLD,4066
Towitta,SA,5353
Trevallyn,TAS,7250
Tullera,NSW,2480
Turvey Park,NSW,2650
Uleybury,SA,5114
Ultimo,NSW,2007
Upper Burringbar,NSW,2483
Upper Pinelands,QLD,4355
Vale of Clwydd,NSW,2790
Victoria Point,QLD,4165
Wagga Wagga BC,NSW,2650
Wallacedale,VIC,3303
Walmul,QLD,4714
Wandsworth,NSW,2365
